Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2020-08-03,108.9375,247.36000061035156,93.54000091552734,162.27000427246094,131.77999877929688,203.19000244140625,47.15999984741211,84.80999755859375,116.3499984741211,40.09000015258789,199.38999938964844,266.17999267578125,148.52999877929688,118.84320831298828,48.29999923706055,147.35000610351562,96.0999984741211,46.29999923706055,194.39999389648438,150.41000366210938,78.7595443725586,216.5399932861328,98.33000183105469,131.2899932861328,114.4000015258789,303.6099853515625,190.69000244140625,57.2400016784668,41.08000183105469,129.3000030517578
2020-08-04,109.66500091552734,243.58999633789062,93.19000244140625,165.07000732421875,131.52000427246094,201.41000366210938,47.66999816894531,86.48999786376953,117.29000091552734,41.31999969482422,201.63999938964844,267.8699951171875,147.3300018310547,120.30592346191406,49.130001068115234,147.22000122070312,95.55000305175781,46.689998626708984,199.36000061035156,151.2100067138672,77.92938995361328,213.2899932861328,97.33000183105469,133.7899932861328,113.0999984741211,304.5,192.2899932861328,57.90999984741211,40.93000030517578,131.63999938964844
2020-08-05,110.0625,241.47000122070312,95.38999938964844,174.27999877929688,134.97000122070312,202.63999938964844,47.33000183105469,87.19999694824219,127.61000061035156,41.9900016784668,204.52000427246094,267.4800109863281,150.82000732421875,119.93307495117188,48.91999816894531,148.39999389648438,97.20999908447266,47.220001220703125,199.25999450683594,155.35000610351562,77.90076446533203,212.94000244140625,100.94000244140625,133.44000244140625,115.08000183105469,312.4700012207031,196.10000610351562,57.540000915527344,40.810001373291016,129.80999755859375
2020-08-06,113.90249633789062,241.5500030517578,95.91999816894531,172.1999969482422,134.38999938964844,207.7899932861328,47.77000045776367,87.47000122070312,130.82000732421875,42.04999923706055,204.25,269.3699951171875,152.5800018310547,120.57361602783203,48.56999969482422,147.5500030517578,97.23999786376953,47.47999954223633,203.17999267578125,156.0,77.33778381347656,216.35000610351562,100.44999694824219,132.7100067138672,113.73999786376953,314.05999755859375,198.77000427246094,57.83000183105469,40.88999938964844,129.35000610351562
2020-08-07,111.11250305175781,240.69000244140625,99.16000366210938,170.02000427246094,134.9199981689453,201.0500030517578,47.43000030517578,86.80000305175781,129.92999267578125,42.630001068115234,208.27000427246094,271.6400146484375,155.11000061035156,119.46463012695312,48.029998779296875,148.60000610351562,99.37999725341797,47.79999923706055,204.60000610351562,158.3300018310547,77.30915832519531,212.47999572753906,101.86000061035156,133.5500030517578,117.36000061035156,317.0299987792969,196.36000061035156,58.529998779296875,41.52000045776367,129.97000122070312
2020-08-10,112.72750091552734,238.1699981689453,101.62000274658203,179.41000366210938,142.02000427246094,197.16000366210938,47.72999954223633,89.7300033569336,128.7899932861328,44.79999923706055,209.3800048828125,274.7300109863281,159.42999267578125,121.52007293701172,49.220001220703125,148.02999877929688,100.63999938964844,47.720001220703125,204.1199951171875,161.44000244140625,77.2042007446289,208.25,105.41000366210938,134.10000610351562,119.12000274658203,319.1000061035156,196.7899932861328,58.9900016784668,42.86000061035156,131.8800048828125
2020-08-11,109.375,234.64999389648438,103.26000213623047,180.1300048828125,142.52999877929688,191.99000549316406,47.189998626708984,89.62000274658203,130.49000549316406,44.5,211.05999755859375,274.9200134277344,160.27999877929688,121.17591094970703,48.189998626708984,146.97000122070312,103.81999969482422,47.93000030517578,205.0,163.3800048828125,77.2042007446289,203.3800048828125,105.12000274658203,133.22999572753906,119.91999816894531,315.54998779296875,197.77000427246094,58.5099983215332,41.849998474121094,130.1999969482422
2020-08-12,113.01000213623047,241.72000122070312,101.68000030517578,175.44000244140625,142.57000732421875,192.6199951171875,48.099998474121094,90.72000122070312,131.7899932861328,44.279998779296875,212.1300048828125,281.5799865722656,160.07000732421875,121.12810516357422,49.189998626708984,149.66000366210938,102.94000244140625,48.43000030517578,206.02000427246094,164.25999450683594,78.89312744140625,209.19000244140625,105.22000122070312,135.4600067138672,118.86000061035156,322.2699890136719,198.74000549316406,58.599998474121094,41.81999969482422,131.88999938964844
2020-08-13,115.01000213623047,240.4600067138672,100.41999816894531,174.72999572753906,140.6699981689453,195.13999938964844,42.720001220703125,89.81999969482422,130.9600067138672,44.43000030517578,208.38999938964844,281.6600036621094,158.97999572753906,119.53154754638672,48.560001373291016,148.0,102.37000274658203,48.380001068115234,206.49000549316406,165.86000061035156,79.71373748779297,208.6999969482422,106.5199966430664,135.77999877929688,119.2699966430664,321.5199890136719,197.5800018310547,58.52000045776367,41.0,131.85000610351562
2020-08-14,114.90750122070312,239.7100067138672,100.41000366210938,178.0800018310547,139.9600067138672,193.4600067138672,42.5,90.3499984741211,130.52999877929688,44.869998931884766,207.97000122070312,280.54998779296875,160.27999877929688,119.76099395751953,48.88999938964844,148.24000549316406,102.41000366210938,48.45000076293945,207.02999877929688,166.10000610351562,79.65648651123047,208.89999389648438,106.43000030517578,135.10000610351562,118.5999984741211,323.70001220703125,196.63999938964844,58.790000915527344,41.90999984741211,132.60000610351562
